Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner,Series,Team,Opposition,Venue
HH Pandya,3,3,2,115,56,115,89,129.21,0,1,0,9,4,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
KL Rahul,3,3,0,24,11,8,34,70.58,0,0,0,3,1,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
Yuvraj Singh,3,3,0,210,150,70,196,107.14,1,0,0,28,5,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
UT Yadav,1,,,,,,,,,,,,,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
J Yadav,1,1,1,1,1,,1,100,0,0,0,0,0,29-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
DS Kulkarni,1,1,1,25,25,,26,96.15,0,0,0,2,1,26-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
JJ Bumrah,4,1,0,0,0,0,1,0,0,0,1,0,0,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
MS Dhoni,5,5,0,192,80,38.4,270,71.11,0,1,0,14,5,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
KM Jadhav,5,4,2,90,41,45,87,103.44,0,0,1,6,3,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
V Kohli,5,5,2,358,154,119.33,355,100.84,1,2,0,30,4,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
A Mishra,5,2,0,15,14,7.5,20,75,0,0,0,1,0,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
MK Pandey,5,5,1,76,28,19,98,77.55,0,0,1,6,1,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
HH Pandya,4,2,0,45,36,22.5,45,100,0,0,0,3,0,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
AR Patel,5,3,0,79,38,26.33,80,98.75,0,0,0,4,3,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
AM Rahane,5,5,0,143,57,28.6,202,70.79,0,1,0,16,3,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
RG Sharma,5,5,0,123,70,24.6,158,77.84,0,1,0,11,5,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
UT Yadav,5,2,1,25,18,25,35,71.42,0,0,0,1,0,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
